Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FO","Forestry Production and Trade","235","Uzbekistan","5916","Export Quantity","1629","Wood fuel, all species (export/import)","1998","1998","m3","0","F","FAO estimate"
"FO","Forestry Production and Trade","235","Uzbekistan","5916","Export Quantity","1629","Wood fuel, all species (export/import)","2000","2000","m3","0","F","FAO estimate"
"FO","Forestry Production and Trade","235","Uzbekistan","5916","Export Quantity","1629","Wood fuel, all species (export/import)","2001","2001","m3","0","F","FAO estimate"
"FO","Forestry Production and Trade","235","Uzbekistan","5916","Export Quantity","1629","Wood fuel, all species (export/import)","2002","2002","m3","0","","Official data"
"FO","Forestry Production and Trade","235","Uzbekistan","5916","Export Quantity","1629","Wood fuel, all species (export/import)","2003","2003","m3","1132","","Official data"
"FO","Forestry Production and Trade","235","Uzbekistan","5916","Export Quantity","1629","Wood fuel, all species (export/import)","2004","2004","m3","1132","F","FAO estimate"
"FO","Forestry Production and Trade","235","Uzbekistan","5916","Export Quantity","1629","Wood fuel, all species (export/import)","2005","2005","m3","173","","Official data"
"FO","Forestry Production and Trade","235","Uzbekistan","5916","Export Quantity","1629","Wood fuel, all species (export/import)","2006","2006","m3","81","","Official data"
"FO","Forestry Production and Trade","235","Uzbekistan","5916","Export Quantity","1629","Wood fuel, all species (export/import)","2007","2007","m3","0","","Official data"
"FO","Forestry Production and Trade","235","Uzbekistan","5916","Export Quantity","1629","Wood fuel, all species (export/import)","2008","2008","m3","0","F","FAO estimate"
"FO","Forestry Production and Trade","235","Uzbekistan","5916","Export Quantity","1629","Wood fuel, all species (export/import)","2009","2009","m3","0","F","FAO estimate"
"FO","Forestry Production and Trade","235","Uzbekistan","5916","Export Quantity","1629","Wood fuel, all species (export/import)","2010","2010","m3","0","F","FAO estimate"
"FO","Forestry Production and Trade","235","Uzbekistan","5916","Export Quantity","1629","Wood fuel, all species (export/import)","2011","2011","m3","32","*","Unofficial figure"
"FO","Forestry Production and Trade","235","Uzbekistan","5916","Export Quantity","1629","Wood fuel, all species (export/import)","2012","2012","m3","1434","","Official data"
"FO","Forestry Production and Trade","235","Uzbekistan","5916","Export Quantity","1629","Wood fuel, all species (export/import)","2013","2013","m3","0","*","Unofficial figure"
"FO","Forestry Production and Trade","235","Uzbekistan","5916","Export Quantity","1629","Wood fuel, all species (export/import)","2014","2014","m3","0","F","FAO estimate"
"FO","Forestry Production and Trade","235","Uzbekistan","5916","Export Quantity","1629","Wood fuel, all species (export/import)","2015","2015","m3","0","","Official data"
